web-scraper-order,web-scraper-start-url,Game_title,Rating,Downloads
"1613978578-3567","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=16","Bloody Dagger Bros (SMB1 Hack)","4.3/5","1,828"
"1613978205-802","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=154","ZZZ_UNK_FC3042","0/5","397"
"1613978433-2501","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=69","Loopz","4/5","1,537"
"1613978477-2817","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=53","Headless Excitebike (Hack)","4.8/5","1,330"
"1613978450-2621","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=63","King Koopa (Mario Bros Hack)","4.6/5","1,078"
"1613978208-813","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=153","ZZZ_UNK_FC2090","0/5","459"
"1613978501-3005","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=44","Freddy Vs Jason (SMB1 Hack)","4.4/5","2,925"
"1613978461-2702","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=59","Jarinko Chie - Bakudan Musume No Shiawase Sagashi [hM04]","3.5/5","1,486"
"1613978487-2900","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=49","Golf (JU)","3.3/5","2,297"
"1613978259-1210","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=134","Tokkyuu Shirei - Solbrain [T-Eng_1.0]","4.7/5","2,260"
"1613978344-1840","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=102","Ring King","4.3/5","8,475"
"1613978256-1176","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=135","Tonjan! [hFFE]","3/5","599"
"1613978447-2607","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=64","Knight Rider","3.6/5","7,086"
"1613978280-1360","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=126","Super Skater (VS)","5/5","1,279"
"1613978350-1880","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=100","Raid 2020","3.5/5","1,351"
"1613978194-728","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=158","ZZZ_UNK_Salamander (Bad CHR 4295f026)","3.7/5","1,232"
"1613978507-3039","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=42","Final Fantasy 3","4.1/5","5,919"
"1613978203-788","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=155","ZZZ_UNK_FC6024X","0/5","815"
"1613978379-2096","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=89","Ninja Gaiden [T-Port1.0]","5/5","2,051"
"1613978200-759","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=156","ZZZ_UNK_Guevara (Bad Dump)","0/5","756"
"1613978545-3324","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=28","Datsugoku (CTC Pirate)","4.7/5","1,177"
"1613978355-1923","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=98","Pussy City Pimps (River City Ransom Hack)","4.6/5","4,799"
"1613978277-1350","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=127","Swimmer Mario (SMB1 Hack)","0/5","1,014"
"1613978570-3493","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=19","Buggy Popper","4.6/5","1,570"
